identifier,file,description,title,creator,date,adaptive_ocr,better_pdf,mediatype,pinpoint,internet_archive
CBSA_A-2014-14403,atip-files/CBSA ATIPS/CBSA_A-2014-14403.pdf,"Records from June 1, 2014 to November 30, 2014 from the National Border Operations Centre's Targeting Operations - Intelligence section regarding: scenario based training, exchange programme with the Royal Canadian Mounted Police, high risk travellers, Syrian and other foreign fighters, confronting terrorist travel, and a Ministerial briefing on traveling sex offenders.

Dossiers du 1er juin 2014 au 30 novembre 2014 des Opérations de ciblage du Centre national des opérations frontalières — Section du renseignement, concernant : les formations fondées sur des scénarios, le programme de communication avec la Gendarmerie royale du Canada, les voyageurs à haut risque, les combattants syriens et autres combattants étrangers, la lutte contre les voyages de terroristes et un exposé ministériel sur les déplacements à l'étranger des délinquants sexuels.",A-2014-14403,Canada Border Services Agency | Agence des services frontaliers du Canada,2017-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2015-06212,atip-files/CBSA ATIPS/CBSA_A-2015-06212.pdf,"Records from December 31, 2005 to April 7, 2015 related to investigations into, and applications for, cessation of refugee protection under the Immigration and Refugee Protection Act, section 108. This includes: operational and policy discussions; policies, directives, and memoranda; meetings and communications; email headers; training materials; profiles of individuals to be investigated; and the costs of cessation investigations, units, interventions and appeals.

Dossiers du 31 décembre 2005 au 7 avril 2015 d’enquête ou de demande concernant la perte de l’asile aux termes de l’article 108 de la Loi sur l’immigration et la protection des réfugiés. Ces dossiers peuvent comprendre ce qui suit : discussions stratégiques et opérationnelles; politiques, directives et notes de service; réunions et communications; objets de courriels; documents de formation; profils des personnes devant faire l’objet d’une enquête; coûts des enquêtes sur la perte d’asile, des unités, des interventions et des appels.",A-2015-06212,Canada Border Services Agency | Agence des services frontaliers du Canada,2019-12,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2015-15846,atip-files/CBSA ATIPS/CBSA_A-2015-15846.pdf,"Statistics from October 29, 2010 to October 29, 2015 relating to non-citizen minors present in an immigration holding centre for 24 hours or more either detained: under the Immigration and Refugee Protection Act, or as guests, or accompanying their non-citizen relative or guardian. Statistics are broken down by the number and percentage detained between: 24 hours to 1 week, 1 to 4 weeks, 4 to 12 weeks, 12 weeks to 6 months, 6 months to 1 year, and over 1 year.

Statistiques du 29 octobre 2010 au 29 octobre 2015 sur les mineurs non citoyens se trouvant dans un Centre de surveillance de l’immigration, pour 24 heures ou plus, détenus en vertu de la Loi sur la protection des réfugiés ou parce qu’ils accompagnent un parent ou un tuteur non citoyen. Les statistiques sont présentées en fonction du nombre et du pourcentage de mineurs détenus : de 24 heures à 1 semaine, de 1 semaine à 4 semaines, de 4 semaines à 12 semaines, de 12 semaines à 6 mois, de 6 mois à 1 an, et plus de 1 an.",A-2015-15846,Canada Border Services Agency | Agence des services frontaliers du Canada,2018-05,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-00487,atip-files/CBSA ATIPS/CBSA_A-2016-00487.pdf,"Policy documents concerning security screening at the Canada Border Services Agency (CBSA), including those related to the High Integrity Personnel Security Screening Standard, as well as the interview guide relating to this process. Additionally correspondence between the CBSA and the Privacy Commissioner of Canada in relation to the Privacy Impact Assessment submitted by the CBSA on February 3, 2014.

Les documents de politique concernant le filtrage de sécurité à l’Agence des services frontaliers du Canada (ASFC), y compris ceux qui concernent la norme d’intégrité élevée en matière d’enquêtes de sécurité sur le personnel ainsi que le guide des entrevues relatif à cette procédure. De plus, la correspondance entre l’ASFC et le commissaire à la protection de la vie privée du Canada au sujet de l’évaluation des facteurs relatifs à la vie privée déposée par l’ASFC le 3 février 2014.",A-2016-00487,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-02,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-04061,atip-files/CBSA ATIPS/CBSA_A-2016-04061.pdf,"Reports as of March 23, 2016 regarding the lessons learned after each of the eleven in-custody deaths, two in federal holding centres and nine in provincial facilities.

Rapports du 23 mars 2016 sur les leçons tirées de onze décès en établissement : deux dans des centres de surveillance fédéraux et neuf dans des établissements provinciaux.",A-2016-04061,Canada Border Services Agency | Agence des services frontaliers du Canada,2019-12,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-07019,atip-files/CBSA ATIPS/CBSA_A-2016-07019.pdf,"Briefing Notes and Memorandums from January 1 to May 1, 2016, prepared for the Minister of Public Safety and Emergency Preparedness.

Notes d’information et notes de service du 1er janvier au 1er mai 2016, rédigées pour le ministre de la Sécurité publique et de la Protection civile.",A-2016-07019,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-06,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-07028,atip-files/CBSA ATIPS/CBSA_A-2016-07028.pdf,"The following Briefing Notes: 16-00504 - Briefing material for the visit by Commissioner Quaedvlieg (Australian Border Force) to the Canada Border Services Agency; 16-00593 - Information Memorandum to the Vice President, Programs Engagement with China; 16-00697 - Memorandum of Understanding between the Canada Border Services Agency and the Correctional Service of Canada; 16-00859 - Material for the February 25, 2016 Meeting on Information Sharing; 16-00895 - Minister’s Hot Issue Notes; 16-00960 - Deputy Minister's National Security Committee.

Les notes d’information suivantes : 16-00504 - Documents d’information pour la visite du commissaire Quaedvlieg (Force Frontaliaire Australienne) à l'Agence des services frontaliers du Canada; 16-00593 - Note d’information au vice-président, Mobilisation des programmes avec la Chine; 16-00697 - Protocole d’entente entre l’Agence des services frontaliers du Canada et le Service correctionnel du Canada; 16-00859 - Documents pour la réunion du 25 février 2016 sur l’échange d’information; 16-00895 - Notes d’information du ministre sur les questions délicates; 16-00960 - Comité des sous-ministres sur la sécurité nationale.",A-2016-07028,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-01,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-07040,atip-files/CBSA ATIPS/CBSA_A-2016-07040.pdf,"The following Briefing Notes prepared from December 10, 2015 to February 14, 2016, for the Minster of Public Safety and Emergency Preparedness and the President of the Canada Border Services Agency (CBSA) entitled: Update on the CBSA’s Mutual Recognition Arrangements regarding Authorized Economic Programs; Border Security: Canada's Front Line, File Created in Error; Decision on the CBSA's participation in a documentary series at the Edmonton International Airport; Request for Canadian Armed Forces Assistance for Irregular Marine Arrivals; Minister's Briefing Package for the Criminal Investigations (E); National Criminal Investigations Workshop; Memorandum of Understanding between Immigration, Refugees and Citizenship Canada, the CBSA, and the Immigration and Refugee Board; Stay Removal Order; National Inquiry on Missing and Murdered Indigenous Women and Girls; Shared Services Canada Aging Infrastructure Letter and Briefing Note; Close Name Matches in the CBSA Systems; Border Controls for Certain Supply-Managed Agricultural Goods; Dairy Farmers of Canada - The Duty Deferral Program and Diafiltered Milk; MINO Tasking - Detention; Proposed Regulatory Amendments Introducing an Application Process for Ministerial Relief and Clarifying the End of Examination for Refugee Claimants; the CBSA and the Correctional Service of Canada Memorandum of Understanding.

Les notes d’information suivantes ont été préparées entre le 10 décembre 2015 et le 14 février 2016 pour le ministre de la Sécurité et de la Protection civile et pour le président de l’Agence des services frontaliers du Canada (ASFC) et sont intitulées : Mise à jour aux ententes de reconnaissance mutuelles de l’ASFC en ce qui a trait aux programmes économiques autorisés; Border Security: Canada’s Front Line, Document créé par erreur; Décision sur la participation de l’ASFC à une série documentaire à l’aéroport international d’Edmonton; Demande d’assistance des Forces canadiennes pour des arrivées irrégulières par voie maritime; Documentation du ministre pour les Enquêtes criminelles (EC); Atelier des enquêtes criminelles nationales; Protocole d’entente entre Immigration, réfugiées et citoyenneté Canada, l’ASFC et la Commission de l’immigration et du statut de réfugié; Sursis des mesures de renvoi; Enquête nationale sur les femmes et les filles autochtones disparues et assassinées; Lettre et notes d’information de Services partagés Canada sur les infrastructures vieillissantes; Quasi-concordances des noms dans les systèmes de l’ASFC; Contrôles frontaliers pour certains produits agricoles assujettis à la gestion de l’offre; Producteurs laitiers du Canada – Le programme de report des droits et le lait diafiltré; Attribution de tâches par le Cabinet du ministre – Détention; Modifications réglementaires proposées pour l’adoption d’un processus de demande de dispense ministérielle et pour la clarification de la fin de l’examen pour les demandeurs d’asile; Protocole d’entente entre l’ASFC et le Service correctionnel du Canada.",A-2016-07040,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-04,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-07092,atip-files/CBSA ATIPS/CBSA_A-2016-07092.pdf,"Records as of May 26, 2016, including but not limited to briefing materials, emailed correspondence and PowerPoint presentations, concerning the Canada Border Services Agency’s policy on electronic tracking of immigration detainees as an alternative to detention.

Documentation en date du 26 mai 2016, y compris les documents d’information, la correspondance par courriel et les présentations PowerPoint, concernant la politique de l’Agence des services frontaliers du Canada sur le suivi électronique des personnes détenues à des fins d’immigration comme solution de rechange à la détention.",A-2016-07092,Canada Border Services Agency | Agence des services frontaliers du Canada,2020-03,TRUE,TRUE,text,TRUE,TRUE
CBSA_A-2016-07574,atip-files/CBSA ATIPS/CBSA_A-2016-07574.pdf,"Final versions of documents prepared from January 1, 2015 to December 31, 2016 for the Minister of Public Safety and Emergency Preparedness and the President of the Canada Border Services Agency (CBSA) regarding: greater oversight of CBSA operations; the CBSA risk assessment centre; cooperation with the Royal Canadian Mounted Police, the Canadian Security Intelligence Service and the Communications Security Establishment; cross border information sharing arrangements and the privacy implications they pose.

Versions définitives de documents établis entre le 1erjanvier 2015 et le 31 décembre 2016 pour le ministre de la Sécurité publique et de la Protection civile et le président de l’Agence des services frontaliers du Canada (ASFC) concernant : la surveillance accrue des activités de l’ASFC; le Centre d’évaluation des risques de l’ASFC; la collaboration avec la Gendarmerie royale du Canada, le Service canadien du renseignement de sécurité et le Centre de la sécurité des télécommunications; les accords d’échange de renseignements transfrontaliers et les répercussions afférentes sur le plan de la protection des renseignements personnels.",A-2016-07574,Canada Border Services Agency | Agence des services frontaliers du Canada,2017-02,TRUE,TRUE,text,TRUE,TRUE
